arm,b_羞耻,b_能不能改,sig_羞耻,sig_能不能改,keep
原始 `c3⁻`,0.07835445125254602,-0.018627172287470583,True,False,1.0
**扣掉性行为计数后的 `c3⁻`**,0.06851118821000284,-0.024872699294630204,True,False,0.8743751901111892
