name,n,n0,n1,b0,s0,b1,s1,diff,thr
A 窄 × 全模型,6607,1757,4850,-0.03068151620184857,0.02399656193597187,-0.04965395589737569,0.014367741152562199,-0.018972439695527116,0.05760592150725191
B 窄 × 简模型,6607,1757,4850,-0.034181618648515495,0.02380647975840838,-0.04834589004204977,0.014273529354227875,-0.014164271393534274,0.058171087213226565
C 宽 × 简模型,12515,3527,8988,-0.0253975148388564,0.016895186704829795,-0.043912792331494026,0.010540807762017957,-0.018515277492637625,0.041958486712178576
