dropped,delta,sd
位置分 S,0.011802596674316157,0.09008584394839902
跨块对比 D,-0.06140360201367767,0.014944104203461457
c1,-0.11482945766579433,0.03234833539735612
c2,-0.08459819621218068,0.04982211114408907
c3,-0.2978558307729771,0.03692385973699056
剖面清晰度,-0.09624048241145389,0.028510487054904547
(基线),-0.1144121786487079,0.03743111072823715
