q,v
两两相关 中位,0.8590169160014254
两两相关 2.5%,-0.176043439816329
两两相关 97.5%,0.9743857543788047
零(块内打乱)中位,-0.006011526974958367
零 97.5%,0.3429073016979551
与全样本 中位,0.9293565017420693
