v_ctor,v_d,v_t,v_thr,v_beats
BOTH_sum = z(S) − z(五题),0.39873258219678304,8.761259352678552,1.9129913862222407,True
"BOTH_min = min(z(S), −z(五题))",0.3880932404500771,8.542802448947475,1.9031060026938607,True
