name,n,n0,n1,b0,b1,diff,thr
A 窄 × 全模型,6608,1758,4850,-0.049912396038493616,-0.08600180274271772,-0.03608940670422411,0.05475885449136535
B 窄 × 简模型,6608,1758,4850,-0.0376963067429984,-0.08587179671194853,-0.04817548996895013,0.054448406413068105
C 宽 × 简模型,12516,3528,8988,-0.014914550060532938,-0.07671102260980354,-0.061796472549270606,0.04211269496690065
