v_th,n,cos,cos_sd,c3sh,Ssh
8,6717,0.8426130268192089,0.09424013137882371,0.12781974870845972,0.11852284120046405
6,9729,0.8388292427117019,0.0932416518512547,0.1289898467468537,0.147705275928073
4,12720,0.7586342280564491,0.1096100988274827,0.1289898467468537,0.1715329734547053
