band,age,n,eff,null,boot,slope114,nF,effF,nullF,bootF
14-17,15.5,1345,0.004063946618825724,0.004697796631175508,0.000692751574371356,-0.13910629720794193,418,-0.0032093202823189155,0.005565449951492456,0.0015144847215500896
18-20,19.0,1194,0.0043400202809279025,0.004949035343768314,0.0007691784914048788,-0.15809018542054146,525,-0.0007878458717324099,0.006421106042247467,0.0011908119845640234
21-24,22.5,1665,0.0060465925203627,0.006366022363508144,0.0005826921786933254,-0.18147354120094664,1231,0.0025724436344577626,0.007057578723491621,0.0008416842008996294
25-28,26.5,1763,0.006240613174948813,0.006780822034888698,0.0005680606298488515,-0.17717716948755877,1434,0.0018295553416695634,0.007523921028956216,0.0007376766020795997
29-32,30.5,1841,0.006932728901501108,0.0075021638827496556,0.000591288267845523,-0.2920098113185735,1632,0.0011751115238867577,0.008050582081170642,0.0006317149975749187
