seed,world,mean,sd
1,real,1.0276608334201918,0.3004450514362833
1,cb,0.9531260619245052,0.2514514124641444
1,b0,0.9531260619245052,0.2514514124641444
1,b1,0.9590322723794571,0.26815735184560807
1,b2,0.9706989357768733,0.30166898741943515
1,b3,0.9819983244828222,0.3257541135482224
1,b5,1.0149523046809337,0.3803908490891816
1,b8,1.0871750859453198,0.453164631713455
1,b13,1.2524024782993102,0.5422303147147471
1,b23,1.6463015842159856,0.4551378163677874
2,real,1.0276608334201918,0.3004450514362833
2,cb,0.9554865006020548,0.25803796951147484
2,b0,0.9554865006020548,0.25803796951147484
2,b1,0.9613142009005758,0.2776780289714393
2,b2,0.9708253416874657,0.30913293787590557
2,b3,0.9821401048207933,0.3318147895537169
2,b5,1.017336942866452,0.38815080348256736
2,b8,1.0855277297904944,0.4615402039331808
2,b13,1.255495236587195,0.5557650835189281
2,b23,1.6378690281251158,0.45631828890274706
3,real,1.0276608334201918,0.3004450514362833
3,cb,0.9555511558096526,0.26486312619623936
3,b0,0.9555511558096526,0.26486312619623936
3,b1,0.9616861880622976,0.2829782792795236
3,b2,0.9724789471098625,0.3164672787702934
3,b3,0.9879736084676399,0.34449560191377426
3,b5,1.0234702797919533,0.3955110806549589
3,b8,1.1038271734969614,0.47415970906394833
3,b13,1.2685055786846688,0.547184777300001
3,b23,1.653884676551902,0.45745266063486834
4,real,1.0276608334201918,0.3004450514362833
4,cb,0.9540214488036984,0.2540067150237702
4,b0,0.9540214488036984,0.2540067150237702
4,b1,0.9589721921805996,0.27195497317948875
4,b2,0.9678146232775195,0.2928521702544185
4,b3,0.9816075494054787,0.3258387195009058
4,b5,1.0241102459917317,0.40496254215574207
4,b8,1.094767172379081,0.46738623376882243
4,b13,1.2674759138734693,0.5651571014544183
4,b23,1.6578709256563757,0.4638907334096614
5,real,1.0276608334201918,0.3004450514362833
5,cb,0.9597512707976442,0.2563955644882889
5,b0,0.9597512707976442,0.2563955644882889
5,b1,0.9654750015454845,0.2810308477839695
5,b2,0.9750089752781955,0.30278790057445604
5,b3,0.985539972319465,0.3266703886605715
5,b5,1.0194654977771536,0.3828432360565669
5,b8,1.105766284944361,0.4700931586840407
5,b13,1.2599827684317393,0.5491358779398412
5,b23,1.6489371447459362,0.4636272537017223
