half,kbin,n,delta,null,net
>18,6–8,1211,-0.337136215145219,0.047800512135607445,-0.38493672728082645
>18,9–12,567,-0.25119293789245273,0.013476237128588333,-0.26466917502104104
>18,13–+,166,-0.2359877902407568,0.0068305028909233486,-0.24281829313168016
≤16,6–8,3153,-0.0190715405963893,0.01542133362205756,-0.034492874218446865
≤16,9–12,2520,-0.0014807297235410446,0.020406049536826468,-0.02188677926036751
≤16,13–+,1832,0.018676934334021157,0.021252442628070887,-0.0025755082940497297
