k,n,r,sb,sb_null,sb_null_sd,sb_null_lo,sb_null_hi,sb_plant
4,4467,0.033361414564784156,0.0645687251228261,-0.006016723276245642,0.030538735294226564,-0.051139646765410725,0.024785762517251796,0.4120867785218596
5,3086,0.018572792757044973,0.03646826793158817,0.026508012150326176,0.07144896674161817,-0.06205163414565565,0.11689504023449919,0.43469095406862507
6,1823,0.03167906501159129,0.06141263516137233,-0.016160584341510593,0.07323206480767482,-0.11555085976992459,0.06349871218402396,0.5471132369036383
