v_layer,v_cov,v_pk,v_ncov,v_npk
1,0.12363996922907121,0.1532037040565709,1443,2052
2,0.1674189119512542,0.16369477706158356,1548,2080
3,0.15109099092451728,0.16763290369498018,3012,2187
4,0.1466564096965668,0.12056481227977732,2420,2086
5,0.09497488242188178,0.08629363938054797,1627,2170
6,0.07070236315697022,0.04688626333110686,2670,2145
