arm,n,delta,d_boot,z,z_boot
raw,9944,-0.23026807494917356,0.005462680677532818,-0.44618518551056646,0.009842497726518133
item(#75 时间表),9944,-0.04947672218020472,0.005294475941221745,-0.08836232016133883,0.009450484004241064
rand(方差匹配),9944,-0.14421987176676018,0.005294995732871674,-0.28512528627563943,0.010394876170088137
