knob,r_gl,v_shame_raw,v_a_global,v_b_local,mde,null_mean,null_sd
仅性别,0.9474072258149366,0.11852284120046405,0.04597931569140729,-0.008495171074246624,0.023914890528354445,0.0018074965258748925,0.014151475237008635
性别×年龄,0.8998945673394921,0.11852284120046405,0.046842601086571456,0.003070794665679335,0.026318803327331625,0.0013269277360578211,0.008756432821912087
性别×年龄×关系风格,0.8912446128057324,0.11852284120046405,0.03794583397060178,0.014669907208491678,0.03455119331661697,-0.010315884006556525,0.018544752183418667
