th,n,r,lo,hi,rp
4,12720,0.1715329734547053,0.15336532369283637,0.1893075255898229,0.13796462060509498
6,9729,0.147705275928073,0.12925525412177868,0.16754723752520884,0.13142878214551795
8,6717,0.11852284120046405,0.09007943295154762,0.14219899594842278,0.11549278197697288
10,4297,0.08357498114090396,0.05124046405102313,0.11215705383409409,0.09567141211916329
12,2670,0.07070236315697022,0.034301201859028754,0.11163550675254641,0.09211931033763177
16,950,-0.002302466335604759,-0.07088347162993094,0.06655425099002635,0.015290068384041917
