pair,r,r_lo,r_hi,d,d_lo,d_hi,over40
P-G,0.07988523874067431,0.053250901014506705,0.10618645697990578,0.23907469236185358,0.15717278875749843,0.327728973040143,0.0
P-C,0.11180662868391232,0.08627264862360576,0.13988329968987306,0.23257679352295577,0.17948595413041837,0.29229668712008705,0.0
G-C,0.08487034579116476,0.05653466272959997,0.11671199186128295,0.3623216726326272,0.2434534343358477,0.5279961401346425,0.302
