half,n_blocks,mean_rate,rel,r_shame,boot_sd,r_disattenuated
普通,16,0.43508506014955123,0.6459423301325604,-0.061815711578162444,0.012791732615720598,-0.0769133982243628
越轨,16,0.30779851522545043,0.7164079469807075,0.10066417895216237,0.011887189466599406,0.11893091448317802
