v_entry,n_solvers,solvers
24,0,
25,1,#44
26,5,#73 #123 #124 #125
28,1,#44
33,0,
34,3,#35 #37 #62
41,0,
46,0,
48,0,
74,1,#75
92,1,#99
93,3,#94 #117 #322
111,5,#120 #122 #132 #222
112,1,#113
114,10,#119 #120 #127 #128
133,0,
144,0,
154,1,#167
171,0,
172,1,#179
184,2,#230 #275
187,0,
194,3,#201 #202 #204
195,1,#201
211,3,#228 #239 #242
227,0,
234,1,#238
237,3,#243 #258 #277
253,1,#268
