summary,sd,sp,z,z_rand,z_rand_sd,z_rand_lo,z_rand_hi,expl,expl_rand,net
mean,0.880374753273368,0.01088709677419355,-0.08973641749969766,-0.3613069503409588,0.19707531472419493,-0.7189559058167138,0.07858136174577957,0.7989195736663336,0.19038716235666975,0.6085324113096638
median,0.8703701653698089,0.4365197740956372,0.016040031838679747,-0.48049091050200454,0.19310500352328103,-0.8476240640459736,-0.037829589160980635,1.0359423356803628,-0.07667900976234243,1.1126213454427052
q25,0.7901579815429607,0.32863353450309973,-0.1742788041204112,-0.4340710999247738,0.1512500969823406,-0.8036650181300267,-0.15277266047360125,0.6094778774339651,0.02733801656065571,0.5821398608733094
q75,2.301313925921442,0.11745523549046014,-0.008989037071370738,-0.27953189276453994,0.29870010415462855,-1.0568113160948704,0.3751006393254554,0.9798574596913627,0.37362785659300723,0.6062296030983555
trim20,0.8479273034123076,-0.013709677419354839,-0.07752625717492084,-0.4823958736381414,0.18733045790431427,-0.8451139094447359,-0.04414337937556,0.8262799732913444,-0.08094763124553905,0.9072276045368834
