outcome,model,n,r,boot_sd,ratio
羞耻,raw,6717,0.11852284120046405,0.01298059649947112,9.13077000777993
羞耻,+勾选数,6717,0.11549278197697291,0.012030269649579069,9.600182318524666
羞耻,+性别,6717,0.11535139373181941,0.012193822883970673,9.45982197949209
羞耻,+内容,6717,0.11315713143991289,0.012611979808573067,8.97219414853437
疗愈,raw,6715,0.09372966523083973,0.011299195905822733,8.295250919805603
疗愈,+勾选数,6715,0.007489549347614251,0.012765581878336549,0.5866986259611219
疗愈,+性别,6715,0.010352700379302146,0.012058740693747216,0.8585225142680365
疗愈,+内容,6715,0.010604542151393118,0.012708608152928088,0.8344377310075306
