quantity,lam_0_0,lam_0_25,lam_0_5,lam_0_75,lam_1_0
剖面清晰度,10.625,9.625,5.5,0.625,0.0
c1,10.25,3.0,4.25,0.75,0.0
c2,7.125,5.625,1.0,0.25,1.0
c3,18.0,15.0,3.875,0.25,0.0
