cut,n_hi_blocks,n_lo_blocks,n,b_common,b_uncommon,diff
0.3546657805928067,21,11,6083,0.07237154764089969,0.0714443763497499,-0.0009271712911497892
0.3615298102774614,18,14,6161,0.057750289512982715,0.08458783997127722,0.026837550458294508
0.3655053205633061,16,16,6134,0.04221453857001544,0.09558162981815112,0.05336709124813568
0.36856177773669146,14,18,6138,0.030846646895943294,0.10070743246068727,0.06986078556474397
0.3756557018899352,11,21,4679,0.026100449470567912,0.09993383091350555,0.07383338144293763
