a,b,n,r_raw,r_adj,null_sd,z
36,53,804,-0.102,-0.064,0.034,1.9
36,55,1668,0.205,0.199,0.025,8.1
36,62,1057,0.154,0.128,0.03,4.3
36,63,1295,0.059,0.031,0.027,1.1
36,67,1489,-0.006,-0.053,0.027,2.0
36,73,745,0.231,0.16,0.035,4.6
36,77,1359,-0.064,-0.125,0.026,4.9
36,79,1983,-0.131,-0.101,0.023,4.4
36,81,613,0.274,0.243,0.038,6.4
36,83,546,0.19,0.096,0.042,2.3
36,85,556,0.067,0.038,0.041,0.9
36,90,821,0.021,0.017,0.034,0.5
36,91,403,0.18,0.101,0.048,2.1
36,92,891,0.082,0.062,0.036,1.7
36,93,859,-0.088,-0.12,0.031,3.9
36,96,541,-0.106,-0.085,0.043,2.0
39,42,757,-0.214,-0.2,0.038,5.2
39,48,887,-0.057,-0.049,0.034,1.5
39,51,524,-0.087,-0.066,0.046,1.4
39,53,494,-0.112,-0.093,0.044,2.1
39,55,728,-0.03,-0.016,0.038,0.4
39,62,673,0.256,0.203,0.04,5.1
39,63,686,-0.108,-0.127,0.039,3.2
39,67,965,0.112,0.081,0.032,2.5
39,73,647,0.162,0.172,0.044,3.9
39,77,694,0.019,-0.01,0.035,0.3
39,79,1086,-0.097,-0.083,0.031,2.7
39,85,430,0.166,0.149,0.047,3.2
39,90,483,0.095,0.089,0.044,2.0
39,91,463,0.25,0.258,0.053,4.9
39,92,554,-0.036,-0.054,0.043,1.3
39,93,522,0.09,0.071,0.043,1.7
39,96,405,-0.189,-0.15,0.052,2.9
42,48,738,-0.076,-0.08,0.04,2.0
42,51,467,0.104,0.109,0.045,2.4
42,53,508,-0.03,-0.053,0.043,1.2
42,55,756,-0.051,-0.065,0.036,1.8
42,62,632,-0.264,-0.257,0.041,6.3
42,63,720,0.045,0.052,0.035,1.5
42,67,902,-0.075,-0.064,0.035,1.8
42,73,751,-0.146,-0.147,0.036,4.1
42,77,713,-0.006,-0.001,0.036,0.0
42,79,1168,0.055,0.039,0.029,1.3
42,90,460,0.131,0.137,0.045,3.1
42,91,447,-0.132,-0.137,0.049,2.8
42,92,479,-0.021,-0.009,0.05,0.2
42,93,428,-0.003,0.015,0.045,0.3
48,51,613,-0.032,-0.049,0.038,1.3
48,53,822,0.053,0.002,0.039,0.1
48,55,1490,0.1,0.12,0.025,4.7
48,62,1237,-0.117,-0.075,0.026,2.9
48,63,1268,-0.149,-0.117,0.026,4.5
48,67,1931,-0.209,-0.164,0.023,7.1
48,73,766,-0.136,-0.053,0.035,1.5
