block,n,n_self,n_other,n_neutral,r_role,plac_mean,plac_p95,ratio
saliva,1365,4,4,2,0.308,-0.005,0.063,4.86
precum,1201,4,4,2,0.264,-0.002,0.029,9.04
squirt,2083,4,4,2,0.217,-0.001,0.042,5.12
male ejaculate,1462,4,4,2,0.302,0.0,0.006,49.36
urine,1158,4,4,2,0.36,-0.002,0.02,18.25
breast milk,932,4,4,2,0.162,0.003,0.039,4.14
sweat,893,4,4,2,0.13,0.0,0.016,7.88
