item
1::Anal fingering
1::Ass-to-mouth/rimming
1::Creampies (ejaculating into a vagina)
1::Creampies (éjaculer dans un vagin)
1::Destination vaginale
1::Facefucking
1::Facesitting
1::Facials (ejaculating onto a face)
1::Fessée
1::Fingering mouths
1::Fisting (anuses)
1::Fisting (vaginas)
1::Hair pulling
1::Handjobs
1::Pegging
1::Rimming
1::Rimmissement
1::Spanking
1::Squirting
1::Vaginal fingering
4::Belches
4::Blood (menstrual)
4::Blood (normal)
4::Breast milk
4::Cum (male ejaculate)
4::Farts
4::Precum
4::Saliva
4::Scat (poop)
4::Smegma
4::Squirt
4::Sweat
4::Urine
4::Vomit
6::Consuming it myself
6::Huge amounts of breast milk
6::Lactating myself
6::Others consuming it
6::Others lactating
"6::Others playing with it (e.g., smearing)"
"6::Playing with it myself (e.g., smearing)"
6::Putting breast milk into my orifices
6::Putting breast milk into others' orifices
"6::Unusual milk (e.g., coloring, thickness)"
7::Consuming it myself
7::Huge amounts of precum
7::Making precum myself
7::Others consuming it
7::Others making precum
"7::Others playing with it (e.g., smearing)"
"7::Playing with it myself (e.g., smearing)"
7::Putting precum into my orifices
7::Putting precum into others' orifices
"7::Unusual precum (e.g., coloring, thickness)"
8::Consuming it myself
8::Huge amounts of saliva
8::Making saliva myself
8::Others consuming it
8::Others making saliva
"8::Others playing with it (e.g., smearing)"
"8::Playing with it myself (e.g., smearing)"
8::Putting saliva into my orifices
8::Putting saliva into others' orifices
"8::Unusual saliva (e.g., coloring, thickness)"
9::Consuming it myself
9::Huge amounts of squirt
9::Others consuming it
"9::Others playing with it (e.g., smearing)"
9::Others squirting
"9::Playing with it myself (e.g., smearing)"
9::Putting squirt into my orifices
9::Putting squirt into others' orifices
9::Squirting myself
"9::Unusual squirt (e.g., coloring, thickness)"
11::Consuming it myself
11::Huge amounts of urine
11::Others consuming it
"11::Others playing with it (e.g., smearing)"
11::Others urinating
"11::Playing with it myself (e.g., smearing)"
11::Putting urine into my orifices
11::Putting urine into others' orifices
"11::Unusual urine (e.g., coloring, thickness)"
11::Urinating myself
13::Blindfolds
13::Butterfly chairs
13::Cages
13::Chains
13::Chastity Belts
13::Face bondage
13::Funnel gags
13::Gags
13::Handcuffs
13::Lacing Tables
13::Leashes/collars
13::Mummification
13::Pony play
13::Punishment ties
13::Shibari
13::St. Andrew's Cross
13::Stocks
13::Suspension
13::Water bondage
17::Acting like the opposite gender
17::Androgyny
"17::Crossdressing (nonpassing, people can tell)"
17::Crossdressing (passably; people can't tell)
17::Detransitioning
17::Drag Queens
17::Gender dysphoria
17::Hermaphroditism
17::Sissification (degredation by feminization)
17::Transgenderism
19::Bukkake
19::Cheating
19::Circle jerks
19::Cuckolding
19::Dogging (sex with strangers in public)
19::Double penetration
19::Freeuse (society where people casually have sex with anyone)
19::Gang bangs
19::Harems
"19::Hotwifing (wife sex with others, non-humiliatingly)"
19::Orgies
19::Partner swapping
19::Possessiveness (sexual partners fighting)
19::Sloppy seconds
19::Soft swinging
19::Swinging
19::Synchronized fucking
19::Threesomes
19::Triple penetration
20::Affection
20::Caretaker/caretakee dynamics
20::Clear
20::Cuddling
20::Energy work
20::Romance
20::Sensual healing
20::Tantra
20::Therapeutic sexual experiences
20::enthusiastic consent
29::Atheletes
29::Babysitter
29::Catboys
29::Catgirls
29::Celebrities
29::Cheerleaders
29::Criminals
29::Doctors
29::Escorts/prostitutes
29::Geishas
29::Gigolos
29::Gynecologists
29::Librarians
29::Maids
29::Nazis
29::Nuns
29::Nurses
29::Priests
29::Scientists
29::Strippers
29::Students
29::Teachers
36::ASMR
"36::Breathplay (choking, asphyxiation)"
36::Constriction/compression
36::Cupping
36::Earplugs/blindfolds
36::Electricity
36::Feathers
36::Messiness/goo/mud
36::Oil/lotion
"36::Pumps (e.g., breast/penile pumps)"
36::Scratching
36::Sensory deprivation
36::Smells (bad)
36::Smells (good)
36::Spicy/tingling
36::Stretching/fullness
"36::Stuffing (nonfood, typically in genitals)"
36::Temperature (cold)
36::Temperature (hot)
36::Texture (rough)
36::Texture (soft)
36::Tickling
36::Vacuum/suckage
36::Wax play
39::Age transformations (rapid aging)
39::Age transformations (rapid deaging)
39::Animal transformations
39::Body parts transformation
39::Body swapping
39::Body transformation (general)
39::Furries
39::Gender transform (female to male)
39::Gender transform (male to female)
39::Inanimate transformations
39::Possession
39::Shapeshifting
42::Animal body parts
42::Extremely huge body parts
42::Extremely small body parts
42::Fangs
42::Horns
42::Impossibly severe obesity
42::Massively giant people (e.g. skyscraper tall)
"42::More sexual body parts (e.g. 3 breasts, 2 penises)"
42::Oversized/giant body parts
42::Slime/goo people
42::Tails
"42::Tiny people (e.g., fairies)"
42::Toothlessness
42::Udders
42::Very excessive body hair
"42::Very short people (e.g., dwarves)"
"42::Very tall people (e.g., tall as a tree)"
42::Wings
48::Amnesia
48::Brainwashing
48::Dronification
48::Drugs
48::Drunkenness
48::Hypnotism
48::Mental disabilities
48::Mind control
48::Sleeping
48::Trance states
51::Amphibians
51::Bears
51::Birds
51::Cats
51::Dogs
51::Dolphins/whales
51::Fish/sharks
51::Foxes
51::Goats
51::Horses
51::Insects/arachnids
51::Lions
51::Monkeys
51::More not listed here
51::More/other
51::Octopi/squid
51::Parasites/leeches
51::Pigs
51::Reptiles
51::Rodents
51::Sheep
51::Slugs/snails/worms
"53::Animal-esque clothing (e.g., cat ears)"
53::Boots
53::Bras
53::Briefs
53::Chokers
53::Corsets
53::Diapers
53::Dresses
53::Fishnets
53::Glasses
53::Gloves
53::Lingerie
53::Miniskirts
53::Other
53::Panties
53::Pants
53::Shoes (high heel)
53::Shoes (non high heel)
53::Skirts
53::Socks/stockings
53::Suspenders
53::Thongs
55::Biting/scratching/scrapes
"55::Breaking skin (needles, cutting, etc.)"
"55::Burning (figging, hot wax, fireplay etc.)"
55::Clamping/pinching
"55::Discomfort (punishment ties, achey knees, etc.)"
55::Electricity/tingling
"55::Impact: stingy (e.g. riding crop, belt)"
"55::Impact: thuddy (e.g., paddle, flogger, fist)"
55::Pumps
55::Punching
"55::Sexual exhaustion (e.g., long sex until raw, then continuing)"
"55::Sharp (wartenberg wheels, getting poked, etc.)"
55::Slapping
55::Sounding
"55::Squeezing/compression (stepping on balls, heavy weight, etc.)"
"55::Stinging (insects, nettles, etc.)"
"55::Stretching (e.g., huge insertions)"
62::Castration
62::Cuckoldry
"62::Defilement (to corrupt, dirty, violate)"
62::Facesitting
62::Flaccid play
62::Forced consumption of desireable things
62::Forced consumption of undesireable things
62::Humiliation for sexual inexperience
62::Humiliation for sluttiness
62::Impotence
62::Insults
62::Objectification
62::Other body part humiliation
62::Photography/videography
62::Public humiliation
62::Religious humiliation
62::Scat
62::Small penis humiliation
62::Urine
62::Verbal degredation
62::Writing on bodies
63::Behavioral restrictions (e.g. limits on speech)
63::Bootblacking (polishing shoes submissively)
"63::Breath play (choking, asphyxiation)"
63::Disempowerment (stripping power away from a powerful person)
63::Financial domination
63::Internal Enslavement (behavioral restrictions are internally imposed/fully trained)
"63::Marking as property (e.g., branding, collars)"
63::Orgasm denial
63::Orgasm overload
63::Ownership
63::Petplay (master/pet roleplay)
"63::Physical struggle/overpowering (e.g., pinning)"
"63::Powerbottoming (enthusiastic submissive, often queer)"
63::Service/utility submission (performing service tasks)
63::Sexual education
"63::Sexual training (e.g., to give deeper blowjobs)"
63::World of femaledom
63::World of maledom
67::Abductions/kidnappings
"67::Body control (directly controlling a body, e.g. voodoo)"
67::Coercion/blackmail
67::Dub-consensual (unclear consent)
67::Forced nudity
67::Forced orgasms
67::Frotteurism (e.g. humping in a crowded subway)
67::Inebriation
67::Rapeplay
67::Sex trafficking
67::Sexual slavery
67::Slave auctions
67::Stalking
67::Struggling/fighting
67::Wartime raids
67::Weapon threats (e.g. gunplay)
73::Aliens
73::Angels
73::Cartoons
73::Demons
73::Dinosaurs
73::Dragons
73::Elves/fae
73::Ghosts
73::Hentai characters
73::Jesus
73::My Little Pony characters
73::Orcs/ogres/golems
73::Robots/cyborgs
73::Slime/goo people
73::Superhero/villain characters
73::Undead (zombies)
73::Unicorns
73::Vampires
73::Video game characters
73::Werewolves
77::Anal beads
77::Anal dildos (huge)
77::Anal dildos (normal)
77::Anal hooks
77::Buttplugs
77::Double ended dildos
77::Fuck machines
77::Pumps (breast)
77::Pumps (penis)
77::Pumps (pussy)
77::Remote control toys
77::Sex swings
77::Showerheads
77::Speculums
77::Strap-ons
77::Sybians
77::TENS/PENS units
77::Vaginal dildos (huge)
77::Vaginal dildos (normal)
77::Vibrators
77::Weights
79::Breast implants
79::Facial piercings
79::Gauges
79::Genital piercings
79::Nipple piercings
79::Other
79::Penile implants
79::Scarification
79::Split tongues
79::Tattoos (heavy)
79::Tattoos (light)
81::Airplanes/cars
81::Buildings
81::Chains
81::Clothing
81::Condoms (unused)
81::Condoms (used)
81::Dolls
81::Food
81::Guns
81::Hairbrushes/clips/scrunchies
"81::Inflatables (e.g., balloons)"
"81::Nature (plants, mushrooms, etc.)"
81::Other
81::Plants
81::Plushies
81::Realdolls
81::Robots
81::Rope
81::Statues/mannequins
83::Consuming it myself
83::Ejaculating myself
83::Huge amounts of ejaculate
83::Others consuming it
83::Others ejaculating
"83::Others playing with it (e.g., smearing)"
"83::Playing with it myself (e.g., smearing)"
83::Putting ejaculate into my orifices
83::Putting ejaculate into others' orifices
