a,b,n,r_prop,r_rar,cca1,cca_max,cca_null
79,90,2088,0.237,0.058,0.11,0.169,0.039
79,91,844,0.344,0.078,0.338,0.338,0.055
79,92,2105,0.306,0.02,0.215,0.215,0.039
79,93,1988,0.28,0.088,0.29,0.29,0.052
79,95,741,0.343,0.058,0.194,0.214,0.069
79,96,1453,0.306,-0.001,0.286,0.286,0.047
85,90,1332,0.335,0.048,0.074,0.109,0.048
85,91,609,0.392,0.077,0.233,0.233,0.085
85,92,1490,0.391,0.091,0.378,0.378,0.047
85,93,1338,0.339,0.034,0.089,0.187,0.046
85,96,1024,0.309,0.055,0.196,0.196,0.059
90,91,890,0.266,0.046,0.023,0.069,0.06
90,92,2222,0.306,0.076,0.219,0.219,0.044
90,93,1927,0.194,0.044,0.036,0.051,0.04
90,95,710,0.357,0.076,0.141,0.141,0.074
90,96,1270,0.215,0.013,0.048,0.068,0.056
91,92,944,0.373,0.038,0.22,0.236,0.062
91,93,863,0.337,0.097,0.245,0.245,0.068
91,96,672,0.37,0.03,0.258,0.265,0.076
92,93,2187,0.436,0.121,0.402,0.402,0.043
92,95,833,0.46,0.083,0.233,0.233,0.061
92,96,1594,0.374,0.146,0.231,0.312,0.041
93,95,859,0.336,0.058,0.184,0.184,0.07
93,96,1591,0.439,0.068,0.344,0.344,0.039
