cat
bodily-secretions
specific body parts (not i
clothing related sexual in
eagerness related sexual i
exhibitionism or voyeurism
genderplay related sexual 
multiple partners or relat
gentleness related sexual 
incest
nonconsent
power dynamics
mythical creatures
your preferred object/obje
specific roles
pregnancy related sexual i
sensory related sexual int
scenarios involving sex to
transformation related sex
abnormal body/body part-re
brutality-related sexual i
humiliation related sexual
mental alteration
vore related sexual intere
bestiality/creatures-relat
sadomasochism
creepy/horror related sexu
dirtiness related sexual i
