arm,r_early,r_late,d
真实,0.05340507322896519,0.11125282774341419,0.057847754514449
正对照(晚半种植),0.05340507322896519,0.5174116065776234,0.4640065333486582
负对照(人内打乱),0.07055402552927155,0.11616153274024707,0.04560750721097552
