q,Kw,seed,world,arm,brier_I,brier_P,brier_C,brier_W,l1_I,l1_P,l1_C,l1_W
1,1,11,real,real,0.24364296648920528,0.08468516275165183,0.005765060505718742,-0.010590757654349792,0.22107341865029584,0.10859728501843836,0.006684178278629715,0.03170060785809227
1,1,11,null,real,0.24454102262845698,0.07953040610907386,0.0005205893988270704,-0.0668850269116597,0.22248055494040103,0.10475395046647085,0.000911312546968616,-0.003324347878915464
1,1,11,real,permC,0.24386930915351543,0.08426027475777943,1.2114996857011853e-05,-0.008451157745190858,0.22154771435229453,0.10847136544268515,0.00017298759098389552,0.03252291530823727
1,2,11,real,real,0.2426596149900881,0.08852747120367134,0.005929862589149848,-0.03072627092072866,0.22055173500397326,0.10807623737692904,0.006513142675405592,0.05207665606546098
1,2,11,null,real,0.24314334647981978,0.08094069100282213,0.0004101770818565794,-0.11892840479343862,0.22260296953956032,0.10316075614623732,0.0008233037381657111,0.001295618619790976
1,2,11,real,permC,0.2429419981253674,0.08807591615307137,6.953023274653783e-05,-0.028694057859111305,0.22110200615582498,0.10801197966299257,0.0001725693270758129,0.05306958085492201
1,4,11,real,real,0.24041094908234484,0.09595061604336155,0.005389701707892686,-0.09848961107969773,0.2176838423386728,0.10540981921957333,0.006032808799785858,0.06576026170859604
1,4,11,null,real,0.24182344455746801,0.09209750771590207,0.0006167640985066669,-0.2438801974325586,0.2206939630252517,0.09953518643486525,0.0008179229172237124,-0.013709816457671461
1,4,11,real,permC,0.24084142078096044,0.09544683634132198,9.700583646073586e-05,-0.09588976153310902,0.21835224133036762,0.10538488191078776,0.00018146520623006182,0.06724241625283106
1,8,11,real,real,0.23838304144148476,0.09952448491280871,0.005603700798939866,-0.2245698825764154,0.20823733366276903,0.0967944042104117,0.005719083529221735,0.05403754027380825
1,8,11,null,real,0.23909328588079679,0.0933640594302434,0.0005645797990061208,-0.3856835551166832,0.2126091092764886,0.09105439641504637,0.0007047118068850833,-0.02627101395948241
1,8,11,real,permC,0.2388391438662781,0.09957547249329315,0.00017279647341773377,-0.2221082414839169,0.20876300318444838,0.09670665184407698,0.00019640784685775087,0.055848362729235074
1,1,29,real,real,0.24157602621993587,0.08152337971895024,0.0060329168107917846,-0.007392999333555602,0.21979803762164918,0.10792373768041591,0.00681215695999679,0.03281401368856916
1,1,29,null,real,0.2360035892317476,0.08781702959575516,0.0004907532272906227,-0.0738054883753751,0.2186378769527548,0.10703970771980417,0.0006702610392928613,-0.005881600481727839
1,1,29,real,permC,0.24139193019596492,0.0811016377504532,-0.00025508524849421343,-0.005252803340846249,0.2201931731168248,0.10777972346470824,3.0742974753269106e-05,0.03354925438845213
1,2,29,real,real,0.24064889240746098,0.0848021795426673,0.00625765471169539,-0.02890769735881062,0.21916704166725598,0.10695417382446325,0.0066082604851391835,0.053072151077261376
1,2,29,null,real,0.23550477831304775,0.09445420117533669,0.0004827270922668029,-0.13952862792543314,0.21821491002335963,0.10538285603462624,0.0006399633262073046,-0.01209474901905975
1,2,29,real,permC,0.2404961806369167,0.08445379047574735,-0.0002188585664833024,-0.02695601258499396,0.2196737664763717,0.106853275855018,3.065975242353783e-05,0.05401120502967221
1,4,29,real,real,0.2387885516504258,0.09278916610471497,0.00584023066554166,-0.10142672095580502,0.21672657722640465,0.10451172836644919,0.00605051390629031,0.06501530689525208
1,4,29,null,real,0.2347996203342469,0.0969079258188095,0.00044672651471226266,-0.2452196590628305,0.21705761284190495,0.10088582069182805,0.0005732085480319818,-0.016084046186700972
1,4,29,real,permC,0.23847566206286736,0.09222845220532924,-0.00019312919891832184,-0.09903188276826964,0.21734921850663305,0.10437907276593693,8.088223843849551e-06,0.0664895358979321
1,8,29,real,real,0.235546163922577,0.09518768171552211,0.0061234497549466265,-0.2298136121668893,0.20653171037136064,0.09526060549532293,0.005782297018272089,0.05352583540975199
1,8,29,null,real,0.23293276772848676,0.10071454055295592,0.00034775419225378335,-0.3863147938018527,0.20983433806710566,0.09426932155191362,0.00047333876953810816,-0.02737713813600965
1,8,29,real,permC,0.23571836917478842,0.094945967759126,-0.00014490010599524372,-0.22765376397583584,0.2070766702106516,0.09516232524414507,1.5158521020963708e-05,0.05527535159762736
4,1,11,real,real,0.26455694437463406,0.046588163886583045,0.005951375426720677,0.037800740070152695,0.24723143663605218,0.06434402698551864,0.0043762418323105845,0.0652925099685765
4,1,11,null,real,0.2625826480558642,0.03325990568420424,-0.001599678252295289,-0.10067200315656058,0.24869346579746715,0.055965115066603455,-0.00017449952304643412,-0.011113600491088949
4,1,11,real,permC,0.26342531236671707,0.045997617275624944,-0.00048770031730230307,0.038476651139691294,0.2473347536350507,0.06429760123593649,0.0002690824832059882,0.06548209980282338
4,2,11,real,real,0.2546650788981482,0.05378716772093234,0.006128314937164869,0.006843620488908223,0.24573927405103674,0.06268423039624652,0.004347878673913194,0.08268708598365604
4,2,11,null,real,0.24846743327915385,0.0486269993709653,-0.0013397533306336675,-0.19067302658298219,0.24823541275956615,0.05419431788176573,-0.0001365341445377181,-0.024326125781589488
4,2,11,real,permC,0.25369557230270606,0.053357628899169854,-0.0005401928005869434,0.007290099564717989,0.24605342944922676,0.06250073848655918,0.00024403056565472364,0.08287998705874905
4,4,11,real,real,0.25058512689338897,0.051616964120881875,0.005241485780139971,-0.017233187268116075,0.24506653102340256,0.06729923328751966,0.0036013840086588276,0.11164572080251733
