family,anchor,n,r,null_sd,z
BINNED_FIB,Totalsexacts,2044,0.16585343235075253,0.02231394006108981,7.432727339801426
BINNED_FIB,totalfetishcategory,2061,0.11360632724732135,0.023270054108750098,4.882082642197323
NEG_FIB,Totalsexacts,15253,-0.450221724220385,0.00839747751237278,-53.61392436681512
NEG_FIB,totalfetishcategory,15503,-0.18627070720704994,0.008161728159295941,-22.822459113011956
