tertile,n,rel,sd,null,net,rel_matched,net_matched
低 S,2237,0.14952628272169471,0.10311216980216047,0.021479115367086958,0.12804716735460775,0.07396797818497748,0.04523262722627363
中 S,2243,0.05181726463421595,0.023063129381800912,0.04843931820837781,0.0033779464258381423,0.17469532833505708,0.1469721083824349
高 S,2237,0.2229503980903158,0.10218083031586032,0.024070052215781134,0.19888034587453468,0.09374790268708688,0.03819637790592201
