arm,sex,rnd,sd,delta
原样,0.6667333105876839,0.8727934522115481,0.016079815510329238,-0.2060601416238642
偏出结局侧,0.7031826271948856,0.8769728954303997,0.01830913050118662,-0.17379026823551413
