arm,b_羞耻,b_能不能改,sig_羞耻,sig_能不能改,keep
原始 `c3⁻`,0.07927378712338004,-0.020100777678149523,True,False,1.0
**扣掉全部六个计数后**,0.0589542400113582,-0.030824944354996324,True,True,0.7436788647375087
