qi,option,loading,z_in_block,endorse_rate
1,Anal fingering,0.2835238643332978,0.5482663072893199,0.34334426229508197
1,Ass-to-mouth/rimming,0.11312552760120646,-1.2187209103759546,0.12904918032786886
1,Creampies (ejaculating into a vagina),0.21863092832270922,-0.12465685995827216,0.7432786885245901
1,Facefucking,0.3677657511585574,1.4218331511152347,0.5971147540983607
1,Facesitting,0.30210333281130985,0.7409306486278076,0.5664262295081968
1,Facials (ejaculating onto a face),0.3723122497844087,1.4689791803023784,0.4998032786885246
1,Fingering mouths,0.31911180582842524,0.9173041684028252,0.43121311475409835
1,Fisting (anuses),0.08267596641828685,-1.5344750804317868,0.06957377049180327
1,Fisting (vaginas),0.1181980111743161,-1.1661205516670907,0.14531147540983608
1,Hair pulling,0.2505383451869429,0.206214901052293,0.6862295081967213
1,Handjobs,0.2502644810396054,0.20337499981262905,0.6481967213114754
1,Pegging,0.1418222064212135,-0.9211436825880935,0.21711475409836065
1,Rimming,0.09138149166025776,-1.444201007805067,0.10977049180327869
1,Spanking,0.30008236504988023,0.7199737292690565,0.6339016393442622
1,Squirting,0.31900250785021117,0.9161707762927568,0.5502295081967213
1,Vaginal fingering,0.15989535306256733,-0.7337297693380355,0.8278032786885245
4,Belches,-0.023560817350063344,0.9944597250799925,0.03244735933724543
4,Blood (menstrual),-0.11661195525667152,0.46980126236965325,0.09872281670693821
4,Blood (normal),-0.17071249305779906,0.1647614140334577,0.1960648947186745
4,Breast milk,-0.20432152460173103,-0.024739361773501993,0.361408353469106
4,Cum (male ejaculate),-0.46923544699420705,-1.5184269662442909,0.5692095270969969
4,Farts,-0.05201580732172769,0.8340194378268119,0.10631687953054884
4,Precum,-0.5288876303261173,-1.8547691487079483,0.4525371073524336
4,Saliva,-0.45252265040098333,-1.4241937267003322,0.515015533310321
4,Scat (poop),-0.07434392429315692,0.7081248406301154,0.07939247497411114
4,Smegma,-0.06125185422420339,0.7819430175014956,0.03866068346565413
4,Squirt,0.02741491500891019,1.281880706453004,0.8191232309285468
4,Sweat,-0.33265368414077867,-0.7483259299209201,0.34276838108387986
4,Urine,-0.29050796513295424,-0.5106919939806616,0.46323783224024856
4,Vomit,-0.04986319125425663,0.8461567234331251,0.04211253020365896
7,Consuming it myself,-0.22739945840067152,0.7635592026924969,0.5802948021722265
7,Huge amounts of precum,-0.41275161925821896,-1.156066578901709,0.4864235841737781
7,Making precum myself,-0.27242544792853857,0.2972411951786136,0.49883630721489525
7,Others consuming it,-0.35019847344369703,-0.5082261066362439,0.49806051202482543
7,Others making precum,-0.1914611318853149,1.1357595471991362,0.6392552366175329
7,"Others playing with it (e.g., smearing)",-0.4058902497258232,-1.0850058381447958,0.5221101629169899
7,"Playing with it myself (e.g., smearing)",-0.31786881230878006,-0.17339941382801852,0.5508145849495734
7,Putting precum into my orifices,-0.33664880284821036,-0.36789703312090805,0.3661753297129558
7,Putting precum into others' orifices,-0.3931873126628179,-0.9534460798161375,0.34290147401086113
7,"Unusual precum (e.g., coloring, thickness)",-0.10342857755671012,2.0474811053775674,0.07680372381691233
8,Consuming it myself,-0.26918077630902043,0.3935957972321066,0.6212534059945504
8,Huge amounts of saliva,-0.30262279274272724,0.013063438250461622,0.3126702997275204
8,Making saliva myself,-0.39880572965291067,-1.0813897012236373,0.4652588555858311
8,Others consuming it,-0.33893542439616176,-0.4001332782604914,0.5497275204359673
8,Others making saliva,-0.28655753516085825,0.1958679164850519,0.662125340599455
8,"Others playing with it (e.g., smearing)",-0.3608840361381457,-0.6498836789011383,0.5490463215258855
8,"Playing with it myself (e.g., smearing)",-0.38074204645308773,-0.8758453975913513,0.44482288828337874
8,Putting saliva into my orifices,-0.3132452913177472,-0.10780859256874745,0.41348773841961856
8,Putting saliva into others' orifices,-0.31949511831752914,-0.1789245617917368,0.4604904632152589
8,"Unusual saliva (e.g., coloring, thickness)",-0.06723961234336297,2.6914580583694816,0.051771117166212535
9,Consuming it myself,-0.37467724467553076,-0.6476868758111868,0.4681933842239186
9,Huge amounts of squirt,-0.31236187535652377,-0.21213513580735613,0.5928753180661578
9,Others consuming it,-0.3998751750304253,-0.8238071897964261,0.3486005089058524
9,"Others playing with it (e.g., smearing)",-0.44050606918187757,-1.1077958243655666,0.3880407124681934
9,Others squirting,-0.12197278776657883,1.1185847056018041,0.7862595419847328
9,"Playing with it myself (e.g., smearing)",-0.4556982426117885,-1.2139811466086845,0.4028837998303647
9,Putting squirt into my orifices,-0.2859439780962427,-0.02748789316559184,0.1717557251908397
9,Putting squirt into others' orifices,-0.31110033791723035,-0.20331765092731982,0.18278201865988125
9,Squirting myself,-0.053677396755116825,1.5959336600307925,0.3138252756573367
9,"Unusual squirt (e.g., coloring, thickness)",-0.06429912515171689,1.5216933508495363,0.043256997455470736
11,Consuming it myself,-0.27298634840088587,0.13841876664961122,0.37537764350453173
11,Huge amounts of urine,-0.35425173179620006,-0.5100183883517645,0.290785498489426
11,Others consuming it,-0.38951723711969616,-0.791410821220939,0.37009063444108764
11,"Others playing with it (e.g., smearing)",-0.4163264302304594,-1.005328189014077,0.4025679758308157
11,Others urinating,-0.05770340753786934,1.85621608527511,0.8262839879154078
11,"Playing with it myself (e.g., smearing)",-0.3687842488122261,-0.625977036366023,0.3474320241691843
11,Putting urine into my orifices,-0.27215711278970844,0.14503544841584431,0.2545317220543807
11,Putting urine into others' orifices,-0.36150004664837454,-0.5678545353669675,0.2877643504531722
11,"Unusual urine (e.g., coloring, thickness)",-0.052159229585867016,1.9004544907045122,0.0324773413897281
11,Urinating myself,-0.3579510038693375,-0.5395358207253079,0.4962235649546828
13,Blindfolds,0.04941262260553338,-1.6909414426419491,0.8995143385753932
13,Butterfly chairs,0.24375736809961762,0.36722224764446426,0.2305735430157262
13,Cages,0.27379020495250067,0.685278154789024,0.18697964847363552
13,Chains,0.3356412292883791,1.340297317625105,0.513413506012951
13,Chastity Belts,0.20293800784931185,-0.065065874755311,0.16154024051803886
13,Face bondage,0.27974328802918147,0.7483229230050801,0.2314986123959297
13,Funnel gags,0.15581350553476706,-0.5641271657618459,0.08580018501387604
13,Gags,0.32730599528850474,1.2520249235093384,0.5260175763182239
13,Handcuffs,0.027135377375714087,-1.9268635260255509,0.9316604995374653
13,Lacing Tables,0.1934462326699319,-0.16558635438493002,0.12812210915818686
13,Leashes/collars,0.32451986931677157,1.2225190920189792,0.5373496762257169
13,Mummification,0.08833189112889615,-1.2787758081986424,0.04290009250693802
13,Pony play,0.08661648389717444,-1.296942437141496,0.05330712303422757
13,Punishment ties,0.2854589608018172,0.8088534515577835,0.28862164662349676
13,Shibari,0.2452122372571655,0.38262970755067405,0.3028445883441258
13,St. Andrew's Cross,0.21427278368859481,0.05497248290976941,0.15043940795559668
13,Stocks,0.20789150521968183,-0.012606990921299304,0.15541165587419056
13,Suspension,0.30825595821296925,1.0502798518440455,0.28862164662349676
13,Water bondage,0.12301327233069843,-0.9114905526232402,0.06880203515263644
17,Acting like the opposite gender,-0.5716794306293504,-1.9132579995016528,0.3394294074615947
17,Androgyny,-0.2951910444275782,-0.12509946146389045,0.3006583760058522
17,"Crossdressing (nonpassing, people can tell)",-0.2784461810219692,-0.01680388030640649,0.2831016825164594
17,Crossdressing (passably; people can't tell),-0.39688674656029377,-0.7828053439730155,0.7051938551572787
17,Detransitioning,-0.061542501968934425,1.3859970508959638,0.027066569129480616
17,Drag Queens,-0.15427454995906809,0.7862626257318079,0.07022677395757132
17,Gender dysphoria,-0.15984183691962975,0.7502568033933258,0.06876371616678859
17,Hermaphroditism,-0.07868282114776094,1.2751439025762223,0.26627651792245793
17,Sissification (degredation by feminization),-0.3545747629726504,-0.5091571963855664,0.4498902706656913
17,Transgenderism,-0.4073594635450736,-0.8505365009667882,0.3606437454279444
19,Bukkake,0.24741338654208747,0.40793199794093954,0.2720105124835742
19,Cheating,0.21994095199634883,0.0423034279860639,0.283311432325887
19,Circle jerks,0.1329398249710685,-1.1155880433997485,0.12115637319316688
19,Cuckolding,0.21452158375182054,-0.02982253733407551,0.2328515111695138
19,Dogging (sex with strangers in public),0.2836044269299853,0.8895958388421008,0.32115637319316687
19,Double penetration,0.21014781277270053,-0.08803272710605692,0.6798948751642575
19,Freeuse (society where people casually have sex with anyone),0.28966413328466645,0.9702440160220231,0.41550591327201053
19,Gang bangs,0.29929960524078747,1.098481789281303,0.5503285151116951
19,Harems,0.11772092600388069,-1.318135227792758,0.37293035479632064
19,"Hotwifing (wife sex with others, non-humiliatingly)",0.26524080030082403,0.6451957099628429,0.27752956636005255
19,Orgies,0.30702009155237514,1.2012331622898467,0.4893561103810775
19,Partner swapping,0.3028956183269833,1.146340857615993,0.3818659658344284
