cut,point,boot_median,lo,hi,width
10,-0.05588258548932395,-0.055913354785782715,-0.06135211837650104,-0.0510812887643872,0.010270829612113841
12,-0.06419537398651205,-0.06472280135517328,-0.06999451943191252,-0.058793037974398915,0.01120148145751361
14,-0.0704133264518421,-0.07067983096202088,-0.079316691053541,-0.06411532433212593,0.015201366721415074
16,-0.08089573015220212,-0.0803982920876051,-0.09052229612579078,-0.06906693858773108,0.021455357538059702
18,-0.3034322662067112,-0.29573726108225934,-0.32400090330234077,-0.2652522073551586,0.05874869594718218
