null,value,null_sd,net
A 题内跨人,-0.11970632388035847,0.023259999632342262,-0.18372594232635275
B 人内打乱,0.05245252084365617,0.11693931584789279,-0.35588478705036736
C curveball 固定边际,-0.1982757242916744,0.04227615536019139,-0.10515654191503682
