name,n,n0,b0,b1,diff,t,thr,k
A 窄 × 全模型,6717,3232,-0.09787301030361299,-0.0451244947581032,0.05274851554550979,2.1403654350562533,2.4178893846243383,3
B 窄 × 简模型,6717,3232,-0.12072290805910386,-0.06588731235971472,0.054835595699389145,2.2367223752656216,2.5125782234575573,2
C 宽 × 简模型,12720,6316,-0.12891700228730507,-0.05986400199118301,0.06905300029612206,3.9330321079965707,2.408888039697739,2
