true_r,rel_target,rel_meas,read,bias,rel_bias,sd
0.05,0.2,0.20237635207548155,0.04769151734952553,-0.0023084826504744735,-0.04616965300948947,0.0369812067083532
0.05,0.4,0.40107122718435934,0.056142347020403466,0.006142347020403463,0.12284694040806926,0.021429265948268904
0.05,0.6,0.600830730404376,0.05098330086058197,0.0009833008605819663,0.019666017211639325,0.010275165741536252
0.05,0.8,0.8010246115025258,0.04983088837507819,-0.00016911162492181525,-0.003382232498436305,0.015048825042985926
0.05,1.0,1.0,0.05155556540972517,0.0015555654097251653,0.031111308194503307,0.014451843665301592
0.1,0.2,0.19901949971005603,0.09804303967724436,-0.0019569603227556492,-0.019569603227556492,0.027464822218760367
0.1,0.4,0.40101808829873903,0.10033878143950266,0.0003387814395026528,0.0033878143950265283,0.01478595042236742
0.1,0.6,0.5990729752360987,0.10200790757579069,0.0020079075757906822,0.020079075757906822,0.018789459868048718
0.1,0.8,0.799921414464649,0.09675328449908915,-0.0032467155009108517,-0.03246715500910852,0.00907119856559888
0.1,1.0,1.0,0.10444195525766249,0.004441955257662486,0.04441955257662486,0.013106412712256542
0.2,0.2,0.19715331366462063,0.21497075200053142,0.014970752000531412,0.07485376000265706,0.02242227283349467
0.2,0.4,0.4020369287802155,0.21179759291527409,0.011797592915274074,0.05898796457637037,0.020340302366066806
0.2,0.6,0.6027230977366488,0.199686252051991,-0.00031374794800900774,-0.0015687397400450387,0.010611826444987739
0.2,0.8,0.8001920749560202,0.20051039043398278,0.0005103904339827658,0.0025519521699138292,0.011263417601737668
0.2,1.0,1.0,0.20327012418546073,0.0032701241854607155,0.016350620927303577,0.013614897152428699
0.4,0.2,0.19996526839331177,0.4060725963008927,0.006072596300892685,0.015181490752231713,0.021687998667120394
0.4,0.4,0.4045556298201027,0.387787142063726,-0.012212857936274024,-0.03053214484068506,0.02155415244481214
0.4,0.6,0.6056589562163283,0.3954738843377205,-0.004526115662279506,-0.011315289155698766,0.011254640066144206
0.4,0.8,0.7995505175594434,0.3922008190216542,-0.00779918097834581,-0.019497952445864525,0.0123346726169646
0.4,1.0,1.0,0.3986826657966234,-0.0013173342033765967,-0.0032933355084414917,0.012035003767447029
0.6,0.2,0.19554119259248404,0.614123516032815,0.014123516032815031,0.023539193388025053,0.0405122746060168
0.6,0.4,0.40614232040654913,0.5893272118419741,-0.010672788158025859,-0.017787980263376434,0.014095822062169052
0.6,0.6,0.6016762235284707,0.6033250372190675,0.003325037219067517,0.005541728698445862,0.010270186824703554
0.6,0.8,0.7993908658016112,0.5990736557807176,-0.0009263442192823934,-0.0015439070321373225,0.00844581444536164
0.6,1.0,1.0,0.6003428555167551,0.00034285551675516945,0.0005714258612586158,0.006949338776510816
