knob,base,max_delta,v_values
① 块覆盖阈值 cov>=,0.013727320781825258,0.0016731158246087174,1.37%·1.38%·1.54%
② 清晰度最小块数 need=,0.013727320781825258,0.0017811754485721476,1.37%·1.37%·1.55%
③ S 是否随块变化,0.013727320781825258,0.0016512907163743762,1.37%·1.21%
④ 选项劈分种子,0.013727320781825258,0.00024020732209562023,1.37%·1.35%·1.35%
⑤ 阈值重抽样次数(阴性对照:不该影响 R²),0.013727320781825258,0.0,1.37%·1.37%·1.37%
