split,arm,n,r_early,r_late,d,sd,ratio
相对(人内中位),真实,11329,0.1271781410947527,0.10006972475006425,0.026918030087377563,0.01296961277932818,2.075469063369516
相对(人内中位),人内打乱,11329,0.10740696915804329,0.11848093994033419,-0.010696073159327373,0.012844949586653562,0.8327065113934771
绝对(<10 岁),真实,1089,0.11010293277438656,0.0568083635288552,0.05385434295758408,0.04034302320440652,1.3349109382487174
绝对(<10 岁),人内打乱,1089,0.08220755963763003,0.07272707809710674,0.009266081262608554,0.04042145085411913,0.22923673116162524
绝对(<12 岁),真实,2423,0.12367253337738186,0.07804656087446818,0.04645115941434964,0.026504857846596924,1.7525526710309713
绝对(<12 岁),人内打乱,2423,0.09148475232929794,0.1284457524110139,-0.0382167666568548,0.02638671231248714,1.4483337751315557
绝对(<14 岁),真实,3854,0.11851632540089124,0.10587402493791667,0.01264347464833647,0.023007759920033496,0.5495308840269776
绝对(<14 岁),人内打乱,3854,0.1144969149699549,0.08769835512588665,0.02686435165645168,0.0220250117438615,1.2197201966958737
