arm,beta_early,beta_late,sd_early,sd_late,n
残差化前,0.11869474596408008,0.05306063504785148,0.01950073379199993,0.01978143572662774,2740
残差化后,0.09847766008563584,0.09662081742438897,0.012401641717594005,0.01270631211236811,6301
