v_q,dis,rel,raw
2.5%,0.12364137539015767,0.3798554371054089,0.07808193160752747
50%,0.14960387196945368,0.40131236619763644,0.09476919771737302
97.5%,0.1771889088113267,0.4223212666502081,0.11137067599871092
