term,r,sd,ratio
S(复现 #179),0.11549278197697291,0.011667518534812222,9.898658539292533
内容残差 raw,-0.022996593449823955,0.012719459313183735,1.8079851417888462
内容残差 +S,0.0028757448449149773,0.013051896704904446,0.22033156635651072
正对照:把 S 当残差塞进来,0.11549278197697291,0.01297084087643469,8.904031980440003
