which,rel,rel_sd,corr_picks,corr_S,corr_picks_res,n_pass,n_pass_res,n_out,flipped
aligned,0.6414383575463257,0.22865742318882304,0.8319624537938485,0.6413078930831418,0.5771700726944334,26,17,31,15
unaligned,0.44616671582670814,0.06300539067621246,0.5154259767212539,,0.2806927194454642,23,15,31,0
