k,rep,sd,null,chance
1,0.9843801589946618,0.003621351340134622,0.9063304625515948,0.03225806451612903
2,0.937872617103539,0.04779117564250166,0.4587444873460143,0.06451612903225806
3,0.9529331773142381,0.016628344001508606,0.35503453778104976,0.0967741935483871
5,0.9641414012195092,0.004476748117604938,0.3352168045710146,0.16129032258064516
