k,obs,off,off_sd,excess
1,2.069315649376466,2.1132495116646717,0.0006313322897556389,-0.04393386228820573
2,1.727056964522752,1.7944820294317672,0.0006296201304128799,-0.06742506490901512
3,1.4820607826640264,1.5184646039496394,0.0005481875404251519,-0.036403821285613036
4,1.2758771609639017,1.269806555244452,0.0004366803435345027,0.006070605719449729
5,1.242051189334216,1.2260932575138386,0.00023933969316849903,0.015957931820377524
6,1.1492187269700316,1.1685632238767065,0.00044114668765582975,-0.019344496906674946
7,1.1266597477906828,1.1267858536764024,0.0007458624743903717,-0.00012610588571959624
8,1.0733954120108664,1.0565067764609306,0.0005127246410285088,0.016888635549935804
