seed,population,oracle,random,pairs,tie_share
1,66.16024920845675,66.53290325857822,41.03160207444498,39164,0.36286583481104295
2,66.70618862283166,66.51091142490372,52.98217638435226,38797,0.3692160114460378
3,66.56460347183562,66.31683017719979,52.77925363693865,39518,0.3605294669730412
4,66.88172591421431,66.62751806367605,48.97682508824884,39214,0.36377058489494607
5,66.79718288373039,66.73811528745311,48.063659122260255,39331,0.3629162887132305
