stratum,n,r,sd,ratio,null
全样本 raw,10567,0.027829046908645887,0.009158068069562519,3.0387464580152743,-0.000152010570109201
全样本 +年龄,10567,0.028345793632807422,0.009459217327444935,2.9966320311264076,0.0023520278913576366
14-17 段内,1900,0.014430430684354376,0.022587329326596114,0.6388728156260086,0.014040990697354538
18-20 段内,1680,0.034431732852977986,0.02380355548370112,1.446495372363773,0.008430105657334918
21-24 段内,2233,0.034432599903509116,0.020468164926507857,1.682251439107579,0.0020462469572885412
25-28 段内,2352,0.04195988660030856,0.020373521152625827,2.0595304211761447,-0.01328644911974967
29-32 段内,2402,0.020343928617252708,0.01959811260907241,1.0380555017239284,0.0038317558088108742
