split,n_half,gap,thr,null_sd,mde,sig
0,3359,0.34281165052765594,0.15700349063274854,0.08130841636085075,0.15936449606726746,True
1,3359,0.34300007503246066,0.1548212181449207,0.0817685339535866,0.16026632654902973,True
2,3359,0.3139537474947267,0.16082102330423503,0.08201574209471142,0.1607508545056344,True
3,3359,0.37249611825793416,0.1541322877917351,0.08096739270916467,0.15869608970996274,True
4,3359,0.3732025640090499,0.15001190921278565,0.08050131190264587,0.15778257132918588,True
5,3359,0.19115267385364035,0.15678100522510316,0.07946636625168978,0.15575407785331197,True
6,3359,0.2932988941658883,0.15395596137058287,0.07913356235065533,0.15510178220728443,True
7,3359,0.3780298945828796,0.14722358579472455,0.07975757734178857,0.15632485158990558,True
8,3359,0.3578594234146866,0.1515864833651008,0.08017294112494353,0.1571389646048893,True
9,3359,0.18324505982747946,0.1528804976225602,0.07957597941542746,0.15596891965423781,True
10,3359,0.28654369253032874,0.15674447680790196,0.0805523981311312,0.15788270033701715,True
11,3359,0.2795694790146856,0.15682145441231593,0.08069006840610314,0.15815253407596216,True
12,3359,0.3131618277082264,0.15917641684373182,0.08121228963737101,0.15917608768924718,True
13,3359,0.27926215176161007,0.15619958858567248,0.08063356383091899,0.15804178510860123,True
14,3359,0.18775244462432927,0.15484578762841117,0.08158119268411779,0.15989913766087085,True
15,3359,0.29084874253791415,0.15225943135412243,0.07871944858139884,0.15429011921954172,True
16,3359,0.3135917285446539,0.1562092019981264,0.08125840164536499,0.1592664672249154,True
17,3359,0.3387371877230981,0.15311607930001137,0.07996040967394656,0.15672240296093526,True
18,3359,0.29070221788262923,0.15666335228572434,0.08032823233003425,0.15744333536686714,True
19,3359,0.35887326115109003,0.15941981440702085,0.0825587642759482,0.16181517798085848,True
