stratum,median_onset,n,adj_mean,lo,hi
1,12.5,1678,-0.05969174057174674,-0.1073943458060356,-0.011989135337457886
2,14.7,1674,-0.015570291199977186,-0.06058485114729262,0.029444268747338243
3,16.7,1684,0.007207152640352967,-0.03975781341012795,0.05417211869083388
4,19.9,1679,0.06795149678487142,0.0198041855442615,0.11609880802548134
