outcome,s1,s2,s3,s4,rho,null_p95,steepness
能不能改,-0.05969174057174674,-0.015570291199977186,0.007207152640352967,0.06795149678487142,1.0,0.7999999999999999,0.12764323735661814
羞耻,0.07260848681779372,0.049021807434425836,-0.047389324769083654,-0.07391061561307292,-1.0,0.7999999999999999,-0.14651910243086663
