clock,beta_alone,beta_joint,sd_joint,vif
A8 第8个,0.24822997276910347,0.13559900238695685,0.014584869669592283,2.146714724031058
A_close 关闭,0.342255424411607,0.21505685226760798,0.013266071814070223,2.1159626855854645
A_first 首个,-0.06907459884049143,-0.14299674817092292,0.013082628757890976,1.5542853708776665
rate 速率,-0.32829182624037967,-0.186408089564222,0.010361667764826978,1.3662656752359295
当前年龄,0.15321693750803642,0.02257535429043363,0.009644505293978124,1.1968821074923452
