v_term,v_val
R²,0.02361276478601071
零均值,0.13226338316277095
零分位,0.957
①平均起始年龄,0.01864332799187556
②起始年龄 sd,-0.008058353008624756
③拥有者平均 S,-0.014843760297814566
④拥有者平均 c3⁻,0.03345826127301955
