arm,v_mean,seed_sd,thr_sd
原始 c3⊥D,15.7,0.3687817782917155,0.39112432736642977
⊥extroversion,14.280000000000001,0.719444229944198,0.3241120669696886
⊥openness,15.7,0.33466401061363044,0.405135923543338
