cut,late_top3,early_top3,late_obs
10,0.22368673619553395,0.3473200855039189,140661
12,0.21593077688430737,0.33696290017604486,122618
14,0.21962881828998432,0.3011694522039676,89929
16,0.22820438274521204,0.27015611960349284,55034
18,0.22927921992357359,0.25095171471334676,30356
