split,arm,n,r_early,r_late,d,sd,ratio
相对(人内中位),真实,11329,0.1271781410947527,0.10006972475006425,0.026637504193023454,0.01281349696409692,2.078862957369174
相对(人内中位),人内打乱,11329,0.11042288873199572,0.1167529890418678,-0.00546089548104139,0.011429577890844075,0.4777862781280808
绝对(<10 岁),真实,1089,0.11010293277438656,0.0568083635288552,0.05374207929721094,0.04292491581276759,1.252001973204241
绝对(<10 岁),人内打乱,1089,0.10554902612570004,0.06662261004042595,0.03828092772411078,0.03803163088775286,1.0065549867449464
绝对(<12 岁),真实,2423,0.12367253337738186,0.07804656087446818,0.045604781041395086,0.027378498085907997,1.6657152228839152
绝对(<12 岁),人内打乱,2423,0.07545237653221146,0.14106305648194156,-0.06392616158087673,0.027368948060433104,2.335718619499807
绝对(<14 岁),真实,3854,0.11851632540089124,0.10587402493791667,0.013134318035438903,0.023338896727542958,0.5627651636136975
绝对(<14 岁),人内打乱,3854,0.1146557594611108,0.1150471581283268,-0.0016019700202511073,0.022489706701964072,0.07123125443477678
