model,r,sd,ratio
raw,0.11549278197697291,0.011178111283243593,10.332047968613526
+PC1(含羞耻),0.11495927374334546,0.012923401928941841,8.895434373660947
+PC1(排除羞耻),0.11537589686704544,0.012322906690161643,9.362717723015724
+PC1(未越阈值),0.11783333008323582,0.012170309807486119,9.682032088513884
+羞耻自身,0.00037761013567408206,0.005247879200276733,0.07195480712554699
