thr,outcome,n,r
4,羞耻,6717,0.11315713143991289
4,疗愈,6715,0.010604542151393118
6,羞耻,6717,0.11315713143991289
6,疗愈,6715,0.010604542151393118
8,羞耻,6717,0.11315713143991289
8,疗愈,6715,0.010604542151393118
10,羞耻,4297,0.09355940221847119
10,疗愈,4295,0.015424457554128095
12,羞耻,2670,0.09170688890040146
12,疗愈,2668,0.0027171844226643836
16,羞耻,950,0.015577092021394052
16,疗愈,950,0.006298594327838838
20,羞耻,0,
20,疗愈,0,
