v_term,coef,se,lo,hi,main,mde
zRS × U,-0.0077157896163338666,0.012290540430682433,-0.03180524886047144,0.016373669627803702,0.12569691763859048,0.03441351320591081
zRC × U,-0.0015108843705512638,0.012346974915011978,-0.02571095520397474,0.022689186462872213,0.12384869378184403,0.03457152976203354
