v_axis,v_cos,v_sd,v_gap
c1,0.9568699079043883,0.016803764133420142,0.6278626830359889
c2,0.8191939555282074,0.08567374623018378,0.21103837093911992
c3,0.7957772457656289,0.10286711524017812,0.2276946595353234
三维子空间,0.8524478420226727,0.03242506166767303,
