v_q,v_r,v_b,v_n,v_pcmid,v_shame
1,0.10768017042214865,0.20978623457738774,1322,-1.6106076529481594,0.26550680786686837
2,0.0901452301210324,0.16613350145706626,1322,-0.611843524451295,0.5885022692889561
3,0.10925883455236597,0.19551475382207975,1321,0.04770470123755211,0.7024981074943225
4,0.10194459556755771,0.17782330009272052,1322,0.6914335958358913,0.8812405446293494
5,0.12039746901056196,0.20440584127486033,1322,1.5187074768228515,1.1792738275340393
