q,K,seed,world,n,m,I,P,X
11,2,29,g1,1324,10,0.08196275115317453,0.04642558489901828,0.11186035388163769
11,2,47,real,1324,10,0.18892647788320938,0.11064235505209578,-0.03775023744638634
11,2,47,g0,1324,10,0.010920254362230783,-0.020726523132540565,-0.05638958086713839
11,2,47,g1,1324,10,0.08880835878674072,0.08311917525345909,0.005839463004903973
13,1,11,real,8648,19,0.3122289337503215,0.11767955482327999,-0.014520206199233127
13,1,11,g0,8648,19,0.03149413766368122,0.06291136728080828,-0.008625475717926026
13,1,11,g1,8648,19,0.14600224745431473,0.09496232121961957,0.16434208200437017
13,1,29,real,8648,19,0.308383847537478,0.11778368235937925,-0.012428002281178612
13,1,29,g0,8648,19,0.030954282633417575,0.06667802882760063,-0.006926431379573013
13,1,29,g1,8648,19,0.16585210107680348,0.04865700109008403,0.14283861217883048
13,1,47,real,8648,19,0.3085994398759056,0.1251824553373882,-0.013305513669778538
13,1,47,g0,8648,19,0.03311027543475771,0.06656420537421971,-0.007385415481985329
13,1,47,g1,8648,19,0.19305517899705077,0.057965272958374496,0.1201471608243459
13,2,11,real,8648,19,0.3128537113672414,0.12159241025608852,-0.044360362938812015
13,2,11,g0,8648,19,0.024986201992389195,0.0649947103301313,-0.0068766354099927445
13,2,11,g1,8648,19,0.14219845550144175,0.09816612128614319,0.14018326046010018
13,2,29,real,8648,19,0.30898424704539457,0.12214827745366924,-0.04419340351020895
13,2,29,g0,8648,19,0.022662891551677018,0.06954030684669123,-0.0081702312832063
13,2,29,g1,8648,19,0.16200876196705374,0.051436755238555766,0.08738706495360885
13,2,47,real,8648,19,0.3090717950305089,0.128828526135264,-0.04783951594774151
13,2,47,g0,8648,19,0.02647288585340764,0.06854332701471251,-0.013376555439630379
13,2,47,g1,8648,19,0.1883457841766603,0.0587829831167796,0.07038221844883874
17,1,11,real,1367,10,0.18925901961627464,-0.032591377564834614,-0.09303305453166245
17,1,11,g0,1367,10,0.033230555655588266,0.02533563406240415,-0.018363428382415427
17,1,11,g1,1367,10,0.09629939251330642,-0.025692689060925474,0.18102303374922168
17,1,29,real,1367,10,0.1884863393320167,0.006166199104285822,-0.08802254153925877
17,1,29,g0,1367,10,0.022413938334169808,0.032968300393015994,-0.007083630518675183
17,1,29,g1,1367,10,0.0799005736433473,-0.025605484146467294,0.11719838756614132
17,1,47,real,1367,10,0.193191480187189,-0.007025961246656274,-0.10692485601420314
17,1,47,g0,1367,10,0.04506000912419681,0.02379654039393784,-0.0040962652614332145
17,1,47,g1,1367,10,0.08283676764749731,-0.05257188241704336,0.17480753665622767
17,2,11,real,1367,10,0.18964633810296502,-0.019387936523055666,-0.10666981716227976
17,2,11,g0,1367,10,0.037379550402071415,0.024950416658437887,0.008991106311498463
17,2,11,g1,1367,10,0.09647050583923755,-0.025287596205297747,0.08766114803709169
17,2,29,real,1367,10,0.19020009135986826,0.013188536319417871,-0.13760097988150258
17,2,29,g0,1367,10,0.022895346592046707,0.024513569605258502,0.005001700551527858
17,2,29,g1,1367,10,0.07786480444752415,-0.019402335488702443,-0.012649036445755362
17,2,47,real,1367,10,0.1865855148800476,0.006556913336160616,-0.13326210499697713
17,2,47,g0,1367,10,0.04894488601963681,0.014181787435366744,-0.007123107286642006
17,2,47,g1,1367,10,0.08429759335620735,-0.045901870364030206,0.06002308733234091
19,1,11,real,3805,19,0.15417399215879374,0.11164994717856508,0.009921163208902312
19,1,11,g0,3805,19,-0.0011927144201812254,0.029870449540950673,-0.009288464355636145
19,1,11,g1,3805,19,0.09158841555858512,0.1168981123633781,0.07372076814265122
19,1,29,real,3805,19,0.14796582927988441,0.12218149900459915,0.007008927755045838
19,1,29,g0,3805,19,-0.005745466380798591,0.022012132464055867,-0.014366306606987955
19,1,29,g1,3805,19,0.07602305353965329,0.04889515479127517,0.18306275337237543
19,1,47,real,3805,19,0.15167190855923207,0.12961625349359407,0.011638914755051707
19,1,47,g0,3805,19,-0.003740758357493452,0.027925014040432607,-0.013832929000619073
19,1,47,g1,3805,19,0.0742712172511984,0.05956433088816633,0.2202859855102806
19,2,11,real,3805,19,0.1537303064890702,0.11240640657156842,0.002121372687311551
19,2,11,g0,3805,19,-0.008781591002836727,0.030686346193946647,-0.019104189854345494
19,2,11,g1,3805,19,0.08820508119892889,0.12357300700733263,0.01543973773966778
19,2,29,real,3805,19,0.14630261088337604,0.12310907280724387,-0.008503780636172279
19,2,29,g0,3805,19,-0.013737567391190569,0.02438636916348826,-0.018274795641466425
19,2,29,g1,3805,19,0.07522166668138865,0.04919601079472048,0.14399831846328054
19,2,47,real,3805,19,0.1505297296015346,0.12989938334311574,-0.007428125676607148
19,2,47,g0,3805,19,-0.013180793186776285,0.028795215123967655,-0.024129716160103454
19,2,47,g1,3805,19,0.07364997275200609,0.0609742192399056,0.18869550696799925
20,1,11,real,4988,10,0.3338250577002923,0.0636265069515707,0.0456317690216327
20,1,11,g0,4988,10,-0.05452398217283472,-0.008873872826631542,-0.08969860831909292
20,1,11,g1,4988,10,0.21070935237702487,0.1213262958720071,-0.0019087813030788103
20,1,29,real,4988,10,0.36503301819909084,0.05268762608785721,0.03818632581999165
20,1,29,g0,4988,10,-0.0679524755389096,-0.007249396513382078,-0.0826234735673893
20,1,29,g1,4988,10,0.1995923127508636,-0.018731068962763255,0.1277523218946231
20,1,47,real,4988,10,0.34052472317730437,0.0639893599754657,0.030970085522210623
20,1,47,g0,4988,10,-0.02743216219649306,-0.008291485684026084,-0.09752228826364376
20,1,47,g1,4988,10,0.19735369332614702,0.010780032015390406,0.12936298102093385
20,2,11,real,4988,10,0.3302377852187708,0.0694584403893396,0.011151930086393907
20,2,11,g0,4988,10,-0.03841055328182067,0.0033536342701971575,-0.14290738793777705
20,2,11,g1,4988,10,0.20175887108212742,0.12934781776131182,-0.0555927722584239
20,2,29,real,4988,10,0.36127220441829583,0.05822555434244393,0.006473879080527564
20,2,29,g0,4988,10,-0.057843362140498455,0.011703117639452865,-0.15232991552889674
20,2,29,g1,4988,10,0.19406876904791323,-0.015161931855959765,0.04379161653968616
20,2,47,real,4988,10,0.3355895963473001,0.0656254066427623,-0.017167438370414602
20,2,47,g0,4988,10,-0.02936628407470091,0.004934828466653458,-0.1607763495369702
20,2,47,g1,4988,10,0.18285254167989434,0.014462574665068395,0.08581391645785813
29,1,11,real,5388,22,0.2107959919576554,0.08659487059720697,0.018502856973516592
29,1,11,g0,5388,22,0.05492718417261819,0.028234863199852335,-0.016559307656909678
29,1,11,g1,5388,22,0.1327544022904733,0.04396572989006675,0.18035036845821306
29,1,29,real,5388,22,0.2073648149374182,0.08355332728265426,0.020217045634385106
29,1,29,g0,5388,22,0.05292906290498524,0.02635793356184864,-0.017916302965888954
29,1,29,g1,5388,22,0.1227829762273028,0.0664697829861923,0.11337135783845811
29,1,47,real,5388,22,0.2011886920344388,0.09373627523503048,0.017901434764381996
29,1,47,g0,5388,22,0.057691962049725265,0.030605750464046788,-0.01963893058407118
29,1,47,g1,5388,22,0.11749459057522402,0.04943441964122606,0.17099825875196342
29,2,11,real,5388,22,0.2088543900741303,0.08999536809302212,0.017176684390511527
29,2,11,g0,5388,22,0.043484220971216916,0.0333266786058702,-0.03345256735989603
29,2,11,g1,5388,22,0.13166325679701363,0.044565460485302126,0.12844245045134423
29,2,29,real,5388,22,0.20405320457889825,0.08555960466510454,0.019071843167491664
29,2,29,g0,5388,22,0.0415575535944699,0.031358597491769294,-0.03476624337292903
29,2,29,g1,5388,22,0.12151960980790412,0.06759895492429215,0.06340589037635276
29,2,47,real,5388,22,0.1991888111561796,0.09568346797443207,0.020541370299463197
29,2,47,g0,5388,22,0.046777995804667905,0.03469863003867357,-0.034254526211031866
29,2,47,g1,5388,22,0.11532906770004314,0.05141674919651151,0.1164436279413178
36,1,11,real,2859,24,0.14288843802579496,0.09874286720232708,0.0007604115780544911
