v_name,v_r2c3,v_r2v,v_uniq,v_shar,v_ret,v_thr,v_hit,v_n
年龄,1.633788815989401,0.4487459114645542,1.4900770042728717,0.14371181171652925,0.9120377062750921,0.013014703006896914,True,6717
生理男,1.633788815989401,0.011157503902214927,1.6665697793188272,-0.03278096332942626,1.0200643822559003,0.014022307001729224,False,6717
开放性,1.633788815989401,0.4508439627340044,1.5716498454805605,0.06213897050884043,0.9619663386719844,0.011705829676497618,True,6717
尽责性,1.633788815989401,0.4152866834819746,1.5514698915876535,0.08231892440174748,0.9496147093209863,0.015035477572421145,True,6717
外向性,1.633788815989401,1.3038133360268822,1.3902952265342439,0.2434935894551571,0.8509638534233076,0.015098143752529512,True,6717
神经质,1.633788815989401,0.8835226761495174,1.4981080359840915,0.13568078000530948,0.9169532936708573,0.02093865659598738,True,6717
宜人性,1.633788815989401,0.17604209368240475,1.6892684812080616,-0.055479665218660656,1.033957672298707,0.016323557480470537,False,6717
无力感,1.633788815989401,0.7737820845942434,1.5148002487937573,0.11898856719564366,0.9271701666511986,0.0162649350937565,True,6717
心理疾病(Any),1.633788815989401,0.03922106388072333,1.6191549890829715,0.014633826906429448,0.9910430119467017,0.009217976892098995,True,6717
童年逆境(Any),1.633788815989401,0.25007463771103966,1.5979281073796314,0.03586070860976953,0.9780505850824711,0.014646309001316011,True,6717
成长环境开放度,1.633788815989401,0.2533806439768971,1.5923024523075036,0.0414863636818974,0.9746072666945184,0.017414170501930067,True,6717
关系风格(非单偶),1.646974327071471,0.00023190183096044592,1.647446265629826,-0.000471938558355145,1.0002865488250776,0.02187542810589288,False,6716
童年性别容忍度,1.6342661713795392,0.20248808021468,1.6368526574599085,-0.0025864860803692657,1.0015826590096923,0.014899721411436057,False,6715
政治(保守←→自由),1.633788815989401,0.006468854199537244,1.6293945119268627,0.004394304062538268,0.9973103598093386,0.011879295038463793,False,6717
异性恋,1.633788815989401,0.0021899316523521506,1.6321758407683462,0.0016129752210547466,0.9990127394646915,0.01259158134434542,False,6717
超重,1.633788815989401,0.06658874639233758,1.6113777218418113,0.022411094147589683,0.9862827472386523,0.012302246546368023,True,6717
性伴数,1.656740620654884,0.889846162600072,1.3437735044852905,0.3129671161695935,0.8110946805626807,0.01859377279293245,True,6609
勾选的类别总数,1.633788815989401,0.13002891274316308,1.6017722954228208,0.03201652056658011,0.9804035134447953,0.012613126699267199,True,6717
色情消费习惯,1.633788815989401,0.59890092072451,1.5659077824674017,0.06788103352199926,0.9584517699854057,0.012853984096562826,True,6717
作答诚实度,1.633788815989401,0.25904705954026275,1.6235538459163035,0.010234970073097482,0.9937354387709532,0.012300527544352262,False,6717
