block,contributes,seed,gain,placebo,null
1,False,1,0.0020227396188469138,0.0,-0.000321785586223311
1,False,2,0.0015766515665274206,0.0,-3.799882483257466e-05
1,False,3,0.001902715337601113,1.1102230246251565e-16,-2.1034522398433175e-05
1,False,4,0.0020275734267944934,0.0,-0.00010808735695611027
4,False,1,0.0067925308362069,0.0,-0.001844069134606774
4,False,2,0.005847724806310017,0.0,-0.002852961966558931
4,False,3,0.0072647059338787345,0.0,0.000257827340968686
4,False,4,0.00845522420617284,2.220446049250313e-16,-0.0005375871263768595
7,False,1,0.02211619581988089,-1.1102230246251565e-16,-0.0014606309541987939
7,False,2,0.014031434225184825,0.0,-0.0011126391554504567
7,False,3,0.03364375739721437,0.0,-0.0030047998217117566
7,False,4,0.01664000560791068,-1.1102230246251565e-16,-0.0006012311637549894
8,False,1,0.019018021705577093,0.0,-0.00032670505423881835
8,False,2,0.027648588702697374,0.0,-0.0023668761865228705
8,False,3,0.020396948984654495,0.0,-8.797396420701098e-05
8,False,4,0.01841595118908501,0.0,-0.0009343215166803809
9,False,1,0.0060143910105868725,0.0,-0.0013440015625425517
9,False,2,0.004618152294451949,0.0,-0.0013114394152465847
9,False,3,0.005908036945734829,0.0,-0.0005941250434601253
9,False,4,0.007517605535357519,0.0,0.0006737145500889108
11,False,1,0.03819816807147647,0.0,-0.0025348764338274377
11,False,2,0.05278672076570479,0.0,-0.0020585841245182035
11,False,3,0.040876981554424985,0.0,-0.002265257645787
11,False,4,0.03840545748133606,0.0,0.00035698977899323303
13,True,1,0.0012847836774764199,0.0,-0.00010924879191920311
13,True,2,0.00043114762799068007,2.220446049250313e-16,-0.00017968100278797916
13,True,3,0.001111122630355843,0.0,-0.00032025435652072165
13,True,4,0.0013204947288543156,-2.220446049250313e-16,-0.0003749675040840561
17,False,1,0.0031432790780283604,0.0,-0.0010005098834912074
17,False,2,0.003919676055212373,0.0,-0.0008977432186813017
17,False,3,0.0016635655719497988,0.0,0.003218965499068527
17,False,4,0.000945899041590148,1.1102230246251565e-16,-0.0011183067623549148
19,False,1,0.0018829234500992165,0.0,-0.0010670843450560907
19,False,2,0.0007129679649847676,0.0,-1.1494685089985524e-05
19,False,3,0.002948273414892899,0.0,-5.623602651905202e-05
